text;question;options;ans;label;category
Udang ronggeng memiliki duri-duri yang keras, terutama di bagian atas kepala dan antena. Badannya yang besar dilindungi kulit keras yang mengandung zat kapur dan mempunyai bentuk tubuh yang menyerupai belalang. Habitat hidup udang ini di perairan karang, suatu kawasan laut yang banyak terdapat karang-karang, terumbu karang, batuan granit, atau vulkanis.;Makna istilah kata vulkanis pada kutipan teks tersebut adalah �.;"A. memiliki sifat gunung berapi
B. daerah yang dekat dengan gunung berapi
C. lingkungan gunung berapi
D. batuan yang berasal dari gunung berapi
E. permukaan yang dikelilingi gunung berapi ";A;C1;LOTS
"Saya pun membandingkan perlakuan yang lbu berikan kepada anak kami dan anak adik ipar saya. lbu menganggap saya terlalu perasa. Tapi saya pikir justru lbu yang keliru. Saya benar benar kecewa kepada lbu. Saya marah besar.  Saya sadar kalau saya sudah termakan amarah. Beberapa kali istri saya mencoba menenangkan dan meminta saya mengontrol diri, tapi saya tidak memedulikannya. Saya pikir saya harus menunjukkan wibawa saya sebagai seorang anak tua, apalagi saya sudah memiliki keluarga sendiri. lstri saya pun tak dapat berbuat banyak. Saya bahkan membentaknya ketika ia hendak merangkul lbu dan meneteskan air mata. Kini, ia berdiri tidak jauh dari saya sambil menahan tangis. 

Malam itu, lbu pergi tanpa sepatah kata. Saya menyesal, sebenarnya. Tapi saya pikir apa yang saya lakukan sudah benar. lstri saya lebih banyak diam malam itu. la membuatkan kopi jagung kesukaan saya selepas kami salat berjamaah.";Latar suasana pada paragraf pertama dalam kutipan cerpen tersebut adalah �.;"A. haru
B. sedih
C. tegang
D. khusyuk
E. duka";C;C1;LOTS
"Bapakku bernama Narto. Biasa dipanggil Kang Nar oleh tetangga. Lelaki desa yang perkasa. Tubuhnya kekar, kulitnya cokelat legam khas petani lelaki di Jawa. lbuku bernama Sumilah. Biasa dipanggil Yu Sum oleh tetangga. Perempuan desa yang juga perkasa. Tubuhnya legam berisi, kulitnya sawo matang khas petani perempuan di Jawa.

Kedua orang tuaku ialah petani yang tekun dan ulet. Hampir setiap hari mereka ke sawah untuk mencari nafkah. Seluruh jiwa dan raga kedua orang tuaku diabdikan untuk sawah.";Makna frasa cokelat legam pada kutipan cerpen tersebut adalah �.;"A. kotor
B. gelap
C. cokelat kehitaman
D. cokelat pekat
E. sawo matang ";C;C1;LOTS
Kebakaran hutan akibat kelalaian manusia di beberapa kota besar di Indonesia berbuntut masalah yang panjang. Lebih parahnya lagi, kebakaran hutan mengakibatkan kabut asap yang bisa menyerang ke negara tetangga, seperti Malaysia dan Singapura. Kejadian tersebut memakan banyak korban jiwa dan berdampak pada kesehatan banyak orang. Evakuasi akan dilakukan kepada masyarakat yang daerahnya telah dipenuhi kabut asap akibat kebakaran hutan.;Maksud pernyataan Evakuasi akan dilakukan kepada masyarakat yang daerahnya telah dipenuhi kabut asap akibat kebakaran hutan pada paragraf tersebut adalah �.;"A. masyarakat pindah ke daerah yang lebih aman dari bahaya kabut asap
B. kabut asap menyebabkan masyarakat menanggulangi kebakaran hutan
C. pemindahan masyarakat dari daerah yang berbahaya dari kabut asap
D. terdapat tempat pengungsian yang dibuat oleh masyarakat untuk menghindari kabut asap
E. pemerintah berusaha menyelamatkan masyarakat yang terkena kabut asap akibat kebakaran hutan";C;C1;LOTS
Hal yang disarankan Mat agar dilakukan istrinya adalah datang kepada orang tuanya, mengabarkan kepada mereka soal kehamilannya, meminta doa restu mereka. Siapa tahu hal tersebut akan membuat keluarganya yang selama ini masih bersikap keras soal perkawinan keduanya bisa lebih melunak. Tetap tak menerimanya sebagai menantu tak apa, yang penting, bisa menerima cucunya kelak. Dengan sok bijak dinasihati istrinya bahwa ketidakakurannya dengan kedua orang tuanya tidak ditularkan kepada anak mereka kelak. Dan jika itu bisa diperbaiki lebih awal, mengapa mesti ditunda-tunda. Mat mengatakan, lnayatun pasti akan sangat membutuhkan ibunya saat nanti melahirkan, mengingat ia akan melahirkan untuk pertama kalinya.;Nilai moral pada kutipan novel tersebut adalah �.;"A. memberi tahu kesalahan orang lain
B. meminta doa restu kedua orang tua
C. mencoba berbuat baik kepada orang lain
D. menyadari kesalahan yang telah diperbuat
E. menghargai usaha yang dilakukan orang lain";B;C1;LOTS
Evakuasi terhadap warga negara Indonesia (WNI) yang berada di Wuhan akibat virus korona yang semakin parah juga menjadi langkah tepat. Sebanyak 238 WNI telah berhasil dipulangkan ke Tanah Air dari Wuhan, Provinsi Hubei, China. Sebelumnya, rencananya ada 245 WNI yang akan dievakuasi, tetapi 4 orang menolak kembali ke Indonesia dan 3 lainnya tak lolos tes kesehatan oleh otoritas China sehingga kepulangannya tertunda. Terhadap WNI yang telah tiba di Tanah Air, pemerintah harus bisa menjamin karantina yang dilakukan di wilayah Natuna, Kepulauan Riau, berjalan dengan baik. Perkembangan kondisi kesehatan WNI tersebut perlu disampaikan secara terbuka kepada publik, terutama kepada pihak keluarga.;Bukti bahwa penulis pada kutipan teks tersebut berpihak pada pemerintah adalah �.;"A. penulis membela pihak pemerintah yang telah mengusahakan evakuasi terhadap WNI dengan baik dan cepat

B. penulis menjelaskan tentang usaha yang baik dari pemerintah dalam melakukan evakuasi terhadap WNI yang berada di Wuhan

C. penulis menjelaskan kondisi WNI yang dievakuasi secara detail dan lengkap sehingga dapat dipahami oleh pembaca

D. penulis mengkritik hal yang dilakukan oleh pemerintah tentang pemulangan WNI yang beada di Wuhan ke Indonesia 

E. penulis menyarankan pemerintah agar segera mengevakuasi WNI yang berada di Wuhan agar korban jiwa tidak bertambah";B;C4;HOTS
"Raden Ajeng Kartini merupakan perempuan keturunan bangsawan yang lahir pada 21 April 1879. Sebagai seorang yang dilahirkan di keluarga bangasawan, Kartini tentu berkesempatan untuk mengecap pendidikan. Kartini berhasil menamatkan pendidikannya di bangku sekolah dasar. Ia selalu haus akan ilmu pengetahuan membuatnya ingin melanjutkan ke jenjang lebih tinggi.

Akan tetapi, pada waktu itu pendidikan bagi kaum wanita masih sangat dibatasi. Hal ini berlaku juga bagi Kartini meskipun dirinya adalah seorang putri bangsawan. Sang Ayah pun tidak memberikan izin kepada dirinya untuk melanjutkan pendidikan ke jenjang yang lebih tinggi. Kartini pun sedih karena bagaimanapun juga ia tidak bisa mengubah keputusan Ayahnya.

Kartini adalah seorang wanita Jawa yang memiliki pandangan maju pada zamannya walaupun dirinya sendiri terbelenggu oleh adat istiadat. Hingga kini Kartini dikenal sebagai tokoh emansipasi wanita. Hal tersebut dapat dilihat dari berbagai surat korespondensi dengan teman-temannya di Belanda yang dibukukan oleh Abendanon.";Keteladanan tokoh berdasarkan kutipan tersebut adalah �.;"A. Raden Ajeng Kartini dilahirkan di keluarga bangsawan
B. Raden Ajeng Kartini menamatkan pendidikannya di bangku sekolah dasar
C. Raden Ajeng Kartini memiliki karakter yang haus akan ilmu pengetahuan
D. Raden Ajeng Kartini dikenal sebagai tokoh emansipasi wanita
E. Raden Ajeng Kartini merupakan seorang wanita Jawa yang memiliki pandangan maju";C;C1;LOTS
"Sungai-sungai dan selokan-selokan di Indonesia tersumbat oleh botol, tas dan kemasan plastik lainnya. Seperti banyak negara berkembang, Indonesia dikenal sebagai negara yang kerepotan dalam mengatasi gunung-gunung sampah. Ledakan jumlah penduduk antara lain berdampak pada merajalelanya wadah, pembungkus, serta kantong plastik yang menggantikan kemasan alami dan tradisional yang mudah terurai di alam seperti daun pisang.

Akibat dari banyaknya kemasan plastik, upaya pemerintah-pemerintah setempat untuk mengumpulkan dan mengelola sampah tidak mampu mengikuti ekspansi dramatis dari sampah yang dihasilkan warga. Selain itu, budaya lama membuang sampah ke selokan dan sungai menunjukkan bahwa setiap upaya untuk membersihkan lingkungan membutuhkan perubahan besar dalam pola pikir masyarakat.";Kalimat utama paragraf pertama pada kutipan teks tersebut terdapat pada �.;"A. kalimat pertama
B. kalimat kedua
C. kalimat ketiga
D. kalimat pertama dan kalimat kedua
E. kalimat pertama dan kalimat ketiga";A;C1;LOTS
"(1) Penyakit flu tulang merupakan istilah yang sering kali digunakan masyarakat awam untuk menjelaskan mengenai penyakit cikungunya. (2) Cikungunya sendiri merupakan penyakit yang disebabkan virus, tepatnya virus jenis cikungunya dari genus Alphavirus dan famili Togaviridae. (3) Flu tulang terkadang juga diklasifikasikan ke dalam virus rematik karena efeknya terhadap sendi. (4) Virus flu tulang yaitu virus alfa yang berasal dari keluarga Togaviridae. (5) Virus ini disebarkan lewat gigitan nyamuk dan menulari manusia.

(6) Nyamuk yang dapat menularkan virus jenis cikungunya  sebagai penyebab penyakit flu tulang adalah nyamuk Aedes albopictus dan Aedes aegypti. (7) Jenis ini juga diketahui menyebarkan penyakit demam dengue dan DBD. (8) Nyamuk Aedes dapat menggigit seseorang yang sudah terinfeksi dengan virus cikungunya, lalu menyebarkan infeksinya dengan menggigit orang sehat sehingga terkena flu tulang. ";Ide pokok paragraf pertama pada teks tersebut adalah �.;"A. definisi penyakit tulang
B. penyebab penyakit flu tulang
C. virus yang menyebabkan flu tulang
D. deskripsi penyakit flu tulang
E. proses penyebaran virus cikungunya ";D;C2;MOTS
;Kalimat tidak padu pada paragraf pertama teks tersebut terdapat pada kalimat �.;"A. (1)
B. (2)
C. (3)
D. (4)
E. (5)";C;C2;MOTS
