EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	18:59:36	0	0.1000	1.4472624681742532	0.6211581826210022	0.8069	0.8069	0.8069	0.8069
2	19:00:31	0	0.1000	0.6738529138880467	0.3888773024082184	0.8682	0.8682	0.8682	0.8682
3	19:01:27	0	0.1000	0.5256503110518002	0.3303244411945343	0.8908	0.8908	0.8908	0.8908
4	19:02:23	0	0.1000	0.4710184044683768	0.27696895599365234	0.9098	0.9098	0.9098	0.9098
5	19:03:22	0	0.1000	0.44136488294509596	0.25653693079948425	0.9125	0.9125	0.9125	0.9125
6	19:04:19	0	0.1000	0.41903373262080146	0.24810823798179626	0.9161	0.9161	0.9161	0.9161
7	19:05:18	0	0.1000	0.4103610988210632	0.2527296841144562	0.9169	0.9169	0.9169	0.9169
8	19:06:15	0	0.1000	0.395417884932029	0.23838350176811218	0.9179	0.9179	0.9179	0.9179
9	19:07:14	1	0.1000	0.3853790417962727	0.2513364851474762	0.9147	0.9147	0.9147	0.9147
10	19:07:55	0	0.1000	0.3788037536759918	0.23448392748832703	0.9206	0.9206	0.9206	0.9206
